a,b,c
1950,7.28,6.49
1951,5.18,6.65
1952,4.69,7.06
1953,5.64,7.63
1954,11.65,8.08
1955,9.25,8.09
1956,16.23,7.44
1957,3.32,6.25
1958,1.34,4.86
1959,2.3,3.62
1960,2.26,2.73
1961,2.89,2.16
1962,0.6,1.81
1963,2.44,1.57
1964,0.86,1.42
1965,0.26,1.35
1966,1.18,1.34
1967,3.3,1.38
1968,0.68,1.46
1969,0.09,1.57
1970,0.55,1.68
1971,6.12,1.72
1972,0.89,1.65
1973,0.41,1.5
1974,1.46,1.31
1975,0.19,1.12
1976,2.87,0.94
1977,0.2,0.75
1978,0,0.59
1979,0.32,0.47
1980,0.26,0.45
1981,0,0.53
1982,0.24,0.68
1983,1.59,0.82
1984,1.65,0.93
1985,1.19,0.98
1986,0.06,1.01
1987,0.35,1.02
1988,2.45,1
1989,1.4,0.95
1990,0.42,0.87
1991,0.34,0.79
1992,0.44,0.74
1993,1.16,0.73
1994,0.09,0.75
1995,1.58,0.75
1996,1.1,0.75
1997,0,0.77
1998,0.41,0.83
1999,0.85,0.95
2000,0.79,1.09
2001,2.56,1.2
2002,1.36,1.25
2003,1.1,1.24
2004,0.49,1.24
2005,1.67,1.26
2006,0.41,1.33
2007,2.45,1.41
2008,1.29,1.46
2009,1.37,1.44
2010,2.75,1.35
2011,0.06,1.2
2012,1.23,1.03
2013,1.34,0.88
2014,0,0.77
2015,0.04,0.73
2016,1.28,0.75
2017,1.04,0.79
2018,0.49,0.84
