a,b,c
1950,14.34,13.99
1951,14.52,14.02
1952,13.77,14
1953,14,13.94
1954,13.8,13.83
1955,14.36,13.69
1956,13.27,13.53
1957,13.29,13.37
1958,12.7,13.24
1959,12.98,13.16
1960,13.79,13.1
1961,12.58,13.06
1962,13.33,13.02
1963,12.6,12.98
1964,13.15,12.96
1965,12.86,12.97
1966,12.64,13.01
1967,13.13,13.07
1968,13.41,13.12
1969,13.14,13.15
1970,13.32,13.13
1971,13.54,13.09
1972,12.44,13.03
1973,12.86,12.97
1974,13.11,12.92
1975,12.85,12.87
1976,13.03,12.81
1977,12.63,12.75
1978,12.54,12.68
1979,12.77,12.6
1980,12.55,12.51
1981,12.55,12.42
1982,12.05,12.33
1983,12.47,12.26
1984,11.7,12.24
1985,12.27,12.27
1986,12.09,12.35
1987,12.28,12.44
1988,13.17,12.51
1989,12.98,12.53
1990,12.54,12.5
1991,12.04,12.47
1992,11.92,12.47
1993,12.62,12.51
1994,12.56,12.57
1995,13.21,12.59
1996,12.88,12.57
1997,12.16,12.5
1998,12.54,12.4
1999,12.15,12.32
2000,12.06,12.29
2001,11.89,12.31
2002,12.38,12.37
2003,12.93,12.45
2004,12.48,12.53
2005,12.37,12.61
2006,12.68,12.69
2007,12.69,12.79
2008,12.95,12.9
2009,13.18,13
2010,13.03,13.08
2011,13.34,13.12
2012,13.07,13.11
2013,13.62,13.06
2014,12.87,12.96
2015,12.76,12.85
2016,12.53,12.74
2017,12.9,12.67
2018,11.78,12.66
