a,b,c
1940,24.15,23.45
1941,27.03,23.36
1942,22.62,23.07
1943,20.37,22.66
1944,22.04,22.26
1945,24.98,21.92
1946,17.35,21.64
1947,22.2,21.32
1948,23.49,20.87
1949,22.84,20.22
1950,16.64,19.43
1951,18,18.63
1952,16.53,17.91
1953,20.18,17.34
1954,15.56,16.95
1955,14.13,16.73
1956,15.47,16.62
1957,20.15,16.48
1958,17.7,16.17
1959,14.79,15.65
1960,15.01,14.98
1961,14.34,14.3
1962,12.16,13.75
1963,13.31,13.38
1964,11.63,13.14
1965,14.79,12.95
1966,13.62,12.74
1967,12.31,12.51
1968,10.39,12.33
1969,12.26,12.26
1970,12.45,12.33
1971,11.74,12.51
1972,13.54,12.75
1973,12.46,12.99
1974,13.81,13.19
1975,13.8,13.36
1976,12.55,13.47
1977,14.08,13.54
1978,14.7,13.56
1979,12.1,13.55
1980,14.32,13.52
1981,13.23,13.49
1982,13.81,13.44
1983,12.41,13.38
1984,15.32,13.31
1985,11.17,13.21
1986,13.47,13.07
1987,15.4,12.92
1988,10.85,12.81
1989,11.85,12.81
1990,11.48,12.94
1991,13.78,13.11
1992,16.02,13.23
1993,13.4,13.2
1994,12.28,13.08
1995,11.8,12.94
1996,11.97,12.87
1997,16,12.92
1998,9.93,13.08
1999,12.91,13.32
2000,14.25,13.57
2001,14.78,13.74
2002,15.45,13.76
2003,12.91,13.62
2004,13.06,13.42
2005,12.45,13.23
2006,13.96,13.08
2007,11.45,12.98
2008,14.49,12.86
2009,13.19,12.68
2010,11.78,12.46
2011,12.23,12.21
2012,11.63,11.96
2013,11.91,11.72
2014,12.23,11.49
2015,10.73,11.3
2016,10.36,11.18
2017,10.88,11.17
2018,10.85,11.27
