a,b,c
1950,23.33,23.69
1951,23.22,23.77
1952,24.29,23.84
1953,24.47,23.88
1954,23.91,23.85
1955,24.66,23.74
1956,22.28,23.57
1957,23.72,23.34
1958,23.64,23.03
1959,23.15,22.59
1960,23.38,22.03
1961,20.41,21.41
1962,19.91,20.84
1963,19.83,20.38
1964,19.99,20.09
1965,20.06,19.93
1966,19.11,19.89
1967,19.9,19.92
1968,20.13,20.01
1969,20.08,20.12
1970,20.21,20.22
1971,20.61,20.28
1972,20.8,20.29
1973,20.04,20.27
1974,19.65,20.23
1975,20.56,20.2
1976,20.21,20.18
1977,20.42,20.16
1978,19.83,20.15
1979,19.64,20.15
1980,20.84,20.17
1981,20.08,20.18
1982,19.83,20.19
1983,20.84,20.2
1984,19.89,20.22
1985,19.76,20.23
1986,20.51,20.25
1987,20.91,20.25
1988,19.81,20.23
1989,20.31,20.18
1990,20.36,20.13
1991,19.54,20.1
1992,20.05,20.1
1993,20.04,20.1
1994,20.65,20.11
1995,20.28,20.1
1996,19.4,20.08
1997,20.15,20.07
1998,20.41,20.07
1999,19.96,20.09
2000,19.56,20.12
2001,20.86,20.16
2002,19.81,20.21
2003,20.35,20.28
2004,20,20.36
2005,20.76,20.43
2006,20.71,20.5
2007,20.56,20.55
2008,20.59,20.6
2009,20.29,20.69
2010,20.44,20.84
2011,20.91,21.01
2012,21.58,21.17
2013,22.01,21.25
2014,21.43,21.23
2015,21.01,21.09
2016,21.27,20.86
2017,22.11,20.62
2018,16.99,20.45
