a,b,c
1950,40.77,39.74
1951,39.36,39.81
1952,39.5,39.88
1953,39.95,39.96
1954,38.85,39.98
1955,42.91,39.85
1956,40.28,39.51
1957,39.54,38.99
1958,36.54,38.37
1959,36.8,37.76
1960,39.44,37.21
1961,35.63,36.72
1962,35.51,36.29
1963,36.45,35.92
1964,35.18,35.63
1965,35.64,35.45
1966,34.17,35.38
1967,34.9,35.44
1968,36.3,35.58
1969,35.6,35.74
1970,35.8,35.86
1971,36.76,35.89
1972,36.75,35.82
1973,35.02,35.69
1974,34.61,35.56
1975,35.81,35.44
1976,35.55,35.34
1977,35.78,35.24
1978,34.75,35.12
1979,34.57,35.03
1980,35.26,34.96
1981,34.26,34.92
1982,35.18,34.91
1983,35.8,34.91
1984,34.16,34.95
1985,34.07,35.03
1986,35.35,35.15
1987,36.06,35.26
1988,35.38,35.32
1989,35.85,35.29
1990,35.22,35.21
1991,35.08,35.14
1992,33.7,35.12
1993,35.2,35.17
1994,35.76,35.24
1995,36.33,35.3
1996,34.81,35.3
1997,34.87,35.26
1998,35.64,35.22
1999,35.08,35.21
2000,34.7,35.26
2001,35.15,35.35
2002,35.49,35.49
2003,36.24,35.63
2004,35.59,35.76
2005,35.49,35.87
2006,36.55,35.97
2007,35.9,36.07
2008,35.86,36.2
2009,36.66,36.37
2010,35.64,36.58
2011,36.73,36.8
2012,38.17,36.98
2013,37.39,37.05
2014,37.62,36.99
2015,36.04,36.81
2016,37.16,36.54
2017,38.28,36.28
2018,31.95,36.09
