a,b,c
1950,6.93,6.53
1951,7.24,6.46
1952,5.86,6.34
1953,6.55,6.22
1954,5.12,6.15
1955,5.88,6.15
1956,6.3,6.2
1957,6.76,6.26
1958,6.19,6.3
1959,7.5,6.31
1960,4.72,6.34
1961,6.19,6.43
1962,6.38,6.59
1963,7.37,6.77
1964,7.1,6.94
1965,7.1,7.05
1966,7.91,7.11
1967,5.82,7.13
1968,7.95,7.1
1969,6.91,7.03
1970,7.85,6.88
1971,6.61,6.68
1972,6.34,6.48
1973,5.11,6.35
1974,6.49,6.36
1975,6.08,6.51
1976,6.12,6.8
1977,6.72,7.12
1978,9.11,7.39
1979,8.28,7.53
1980,7.3,7.52
1981,7.87,7.4
1982,6.71,7.28
1983,6.64,7.22
1984,6.36,7.24
1985,8.04,7.31
1986,8.2,7.38
1987,7.25,7.41
1988,7.02,7.38
1989,7.56,7.31
1990,7.54,7.24
1991,7.06,7.19
1992,6.32,7.18
1993,7.18,7.21
1994,8.02,7.3
1995,7.16,7.4
1996,6.2,7.5
1997,8.94,7.53
1998,8.82,7.48
1999,7.11,7.37
2000,5.84,7.26
2001,7.27,7.22
2002,6.32,7.25
2003,8.55,7.3
2004,7.76,7.31
2005,7.14,7.26
2006,7.97,7.15
2007,5.04,7.04
2008,7.58,6.97
2009,7.82,6.95
2010,6.21,7
2011,5.99,7.15
2012,7.84,7.37
2013,7.01,7.63
2014,8.91,7.85
2015,9.01,7.98
2016,7.56,8.01
2017,7.85,7.96
2018,8.05,7.87
