a,b,c
1950,,
1951,,
1952,,
1953,,
1954,,
1955,,
1956,,
1957,,
1958,,
1959,,
1960,,
1961,0.09,0.06
1962,0,0.06
1963,0.05,0.07
1964,0.01,0.07
1965,0.22,0.08
1966,0.05,0.08
1967,0.15,0.08
1968,0,0.07
1969,0.11,0.07
1970,0.02,0.07
1971,0.01,0.07
1972,0.02,0.08
1973,0.28,0.09
1974,0,0.09
1975,0.09,0.09
1976,0.13,0.09
1977,0.15,0.08
1978,0,0.07
1979,0,0.07
1980,0.05,0.08
1981,0,0.1
1982,0.26,0.11
1983,0.19,0.11
1984,0.17,0.11
1985,0.04,0.09
1986,0,0.07
1987,0.04,0.06
1988,0.09,0.05
1989,0.04,0.05
1990,0.01,0.05
1991,0.12,0.05
1992,0.04,0.05
1993,0.05,0.04
1994,0,0.03
1995,0.05,0.03
1996,0.01,0.02
1997,0,0.02
1998,0,0.02
1999,0.02,0.03
2000,0.09,0.03
2001,0.02,0.03
2002,0.05,0.03
2003,0,0.04
2004,0.04,0.04
2005,0.01,0.06
2006,0,0.07
2007,0.3,0.09
2008,0,0.1
2009,0.04,0.1
2010,0.24,0.09
2011,0.1,0.08
2012,0,0.06
2013,0.06,0.05
2014,0,0.03
2015,0,0.02
2016,0.01,0.02
2017,0.01,0.02
2018,0,0.02
